firstName,gender,hireDate,lastLoginTime,salary,bonusPercentage,seniorManagement
Michael,Male,10/10/2008,11:25 AM,99283,2.665,true
Paula,,11/23/2005,2:01 PM,48866,4.271,false
Steve,Male,11/11/2009,11:44 PM,61310,12.428,true
Margaret,Female,9/10/1988,12:42 PM,131604,7.353,true
Adam,Male,5/21/2011,1:45 AM,95327,15.12,false
,Female,8/17/2014,2:00 PM,86230,8.578,
Marilyn,,8/22/1999,9:09 AM,103386,11.451,false
Wayne,Male,4/7/2012,8:00 AM,102652,14.085,true
Randy,Male,11/14/1999,12:12 PM,58129,1.952,true
Ruth,,5/18/1999,5:56 AM,98233,2.518,true
Irene,Female,1/30/2004,8:25 PM,131038,8.996,false
Sarah,Female,9/14/1995,7:50 AM,87298,2.311,false
Jeremy,Male,6/8/2000,12:15 AM,49542,1.679,true
Phyllis,,4/21/1984,7:05 PM,94088,19.107,false
Justin,Male,12/6/1992,5:58 PM,82782,4.366,true
Gloria,Female,3/27/2007,1:44 AM,90730,2.491,false
,Female,8/5/2009,8:14 AM,115145,14.063,
,Male,2/4/2005,1:01 PM,40451,16.044,
Betty,Female,6/28/2005,6:03 PM,51613,12.984,false
Walter,,12/21/1999,10:33 PM,66757,18.099,false
Virginia,Female,10/20/1999,6:23 AM,46905,19.154,false
Marilyn,Female,9/26/1981,2:23 AM,86386,2.937,false
Judy,Female,2/1/1990,3:32 PM,38092,5.668,false
Joshua,Male,11/9/2009,6:32 AM,72893,9.555,false
,Female,12/31/2006,11:02 PM,81444,3.171,
Clarence,Male,1/13/2005,9:00 AM,116693,13.835,true
Steve,,2/23/2002,3:55 AM,83159,9.55,true
,Male,6/29/2008,5:23 AM,111043,5.966,
Andrea,Female,10/1/2010,11:54 AM,79123,19.422,false
Billy,Male,12/1/2006,3:32 PM,144709,10.069,true
,Male,5/24/2016,9:17 PM,76409,7.008,
Ryan,Male,7/20/1993,10:18 PM,139917,11.466,false
Howard,Male,4/9/2012,6:36 AM,37984,2.021,false
Nicholas,,9/9/1989,7:12 PM,58478,6.525,true
Barbara,,12/10/1980,11:04 PM,90187,14.764,true
Sean,Male,2/11/2013,7:07 PM,42748,9.765,false
,Female,6/24/2014,10:05 AM,38275,10.494,
Catherine,Female,8/31/2013,7:24 PM,58047,14.858,true
Kathleen,Female,6/13/2014,9:16 AM,35575,14.595,false
Amanda,Female,8/1/2004,1:32 PM,80803,14.077,true
Jane,Female,6/1/1994,8:39 AM,42424,18.115,false
Johnny,Male,1/8/1995,1:35 PM,91124,12.986,true
Rachel,Female,4/22/1988,12:01 PM,110924,7.808,false
Teresa,Female,6/24/1987,7:37 PM,69740,8.294,false
Barbara,,12/20/1994,10:09 AM,90556,15.749,true
Julie,,10/21/2000,1:15 AM,60361,7.099,true
Eric,Male,11/12/2004,9:16 PM,65168,11.513,false
Kimberly,Female,12/6/1986,2:23 PM,37916,12.929,true
,,9/2/1988,12:49 PM,147309,1.702,
Kathleen,Female,8/28/2004,10:49 AM,42553,3.756,true
Mary,,12/24/1986,7:02 PM,100341,6.662,false
Katherine,Female,12/19/2000,1:40 AM,41643,4.659,true
Andrea,Female,8/31/1989,11:10 PM,113760,12.866,true
Anthony,Male,2/13/2013,1:35 PM,146141,3.645,true
Laura,Female,7/12/2000,6:07 PM,84672,3.96,false
Robin,,12/20/2005,2:42 PM,41230,6.611,true
,Male,12/27/1996,7:07 AM,139959,8.992,
,Male,5/23/1990,2:09 AM,136655,9.801,
Amy,,5/19/1984,11:47 AM,102839,10.385,true
Frank,Male,3/2/2009,9:15 PM,78891,7.927,true
Thomas,Male,9/7/1991,9:51 AM,65251,11.211,false
Ann,Female,9/28/1994,5:44 AM,79796,9.851,false
Jonathan,Male,7/30/1984,6:02 PM,83809,12.922,false
Stephen,Male,10/21/1984,6:26 AM,121816,10.615,true
Ruth,Female,9/2/1980,6:52 AM,59678,10.895,false
Terry,Male,11/10/2004,4:33 AM,35633,3.947,true
Antonio,Male,12/28/2003,4:17 AM,137979,5.266,false
Anne,,4/18/1996,11:57 PM,122762,9.564,false
Andrea,Female,7/22/1999,9:25 AM,149105,13.707,true
Shawn,Male,3/17/2008,2:12 PM,39335,10.664,false
Rachel,Female,6/23/2011,12:52 AM,54941,3.221,true
Ann,Female,10/3/1980,1:08 AM,96941,10.048,true
,Female,12/27/1980,2:27 AM,80399,12.254,
Michael,Male,8/31/2002,1:20 AM,81206,19.908,true
Billy,Male,4/6/2000,3:14 PM,115280,9.153,false
Lillian,Female,8/26/2002,8:53 AM,103854,4.924,true
Jacqueline,Female,5/25/2003,7:13 PM,125418,8.064,false
Sara,,11/18/2014,2:47 PM,135990,14.344,true
Patricia,Female,10/10/1995,4:52 PM,119266,6.911,false
,Male,5/23/2001,7:52 PM,103877,6.322,
Ann,Female,9/28/2001,6:37 AM,71958,5.272,true
Sean,Male,3/21/2009,11:38 AM,131423,8.957,false
Judith,Female,3/1/2004,7:32 AM,109324,19.488,false
Harold,Male,6/23/2012,12:40 PM,140444,3.771,false
Andrew,Male,9/28/1990,9:38 AM,137386,8.611,true
Kenneth,Male,5/10/2006,8:24 AM,101914,1.905,true
Gerald,,4/15/1989,12:44 PM,93712,17.426,true
,Female,9/15/1985,1:50 AM,133472,16.941,
Louise,Female,3/27/1995,10:27 PM,43050,11.671,false
Henry,,11/23/2014,6:09 AM,132483,16.655,false
