firstName,gender,hireDate,lastLoginTime,salary,bonusPercentage,seniorManagement
Angela,Female,11/22/2005,6:29 AM,95570,18.523,true
Christina,Female,8/6/2002,1:19 PM,118780,9.096,true
Nancy,Female,9/23/2000,8:05 AM,94976,13.83,true
Sara,Female,8/15/2007,9:23 AM,83677,8.999,false
Theresa,Female,4/11/2010,7:18 AM,72670,1.481,true
Irene,Female,5/7/1997,9:32 AM,66851,11.279,false
Tina,Female,6/12/2009,7:16 AM,114767,3.711,true
Christina,Female,4/13/2012,2:04 PM,110169,13.892,true
Ashley,Female,5/25/2006,11:30 AM,112238,6.03,true
Teresa,,1/28/2016,10:55 AM,140013,8.689,true
Patrick,Male,8/17/2007,3:16 AM,143499,17.495,true
Lillian,Female,12/21/2008,6:51 PM,85446,3.959,true
Willie,Male,2/17/1998,8:20 PM,146651,1.451,true
Lois,Female,10/18/2013,4:51 PM,36946,6.652,false
Emily,Female,9/20/2007,11:25 AM,89434,11.295,false
Evelyn,Female,5/24/1980,11:10 PM,81673,15.364,true
Julie,Female,7/23/1989,1:52 PM,109588,3.55,false
Bobby,Male,9/23/1994,1:29 AM,51685,17.445,true
Norma,Female,2/11/2015,11:44 PM,94393,3.643,true
Robert,Male,10/27/1990,7:15 PM,38041,18.428,true
Victor,Male,4/11/1991,7:44 AM,70817,17.138,false
Anne,Female,7/16/1986,2:08 PM,69134,3.723,true
Sarah,,11/21/1985,1:08 PM,58295,14.603,true
Todd,Male,3/11/2009,3:43 AM,107281,1.612,true
Alan,Male,6/26/1988,3:54 AM,111786,3.592,true
James,Male,7/11/2015,8:52 PM,72257,13.023,false
,Male,1/27/2010,2:57 AM,87760,14.987,
Ronald,Male,2/24/2009,2:09 PM,96633,4.99,true
,Male,10/9/2011,9:29 AM,69906,4.844,
Russell,Male,8/13/2014,3:51 PM,121160,7.843,false
Albert,Male,2/1/1997,4:20 PM,67827,19.717,true
Brandon,Male,10/16/2015,2:44 AM,112548,4.664,false
Scott,Male,8/3/1996,1:50 AM,64172,10.894,true
Harry,,12/5/1996,5:45 AM,46240,6.976,true
Richard,,11/28/1992,5:05 PM,124655,14.272,true
Gregory,Male,5/15/2009,3:52 PM,142208,11.204,true
Deborah,,2/3/1983,11:38 PM,101457,6.662,false
Craig,Male,4/14/1996,9:17 AM,125556,7.996,false
Amy,Female,6/19/2002,3:06 AM,122897,8.222,true
Jonathan,Male,8/15/2002,12:01 AM,104749,11.364,false
Stephanie,Female,11/26/1992,12:54 AM,122121,7.937,true
,Male,4/20/1980,1:17 PM,71520,13.248,
Clarence,Male,11/3/2015,12:11 AM,103684,18.654,true
,,9/25/1981,9:59 AM,83895,17.971,
Ruby,Female,5/1/1999,3:36 AM,147362,7.851,true
Philip,Male,7/18/1985,6:36 AM,122319,19.122,false
Amanda,Female,6/7/2002,7:46 AM,109290,13.853,false
Linda,Female,8/18/1985,4:34 AM,51431,13.295,false
Kathleen,Female,9/20/1996,3:45 PM,71430,8.572,false
Randy,Male,5/2/2002,7:39 PM,86723,14.842,false
Bobby,,7/21/2003,3:50 PM,84232,15.704,true
Bruce,Male,3/15/2013,11:13 PM,141335,15.427,true
,Female,10/24/1993,5:17 PM,116236,17.274,
Edward,Male,8/30/2001,1:24 AM,73105,6.083,true
Beverly,Female,10/22/1990,2:45 PM,59070,19.064,true
Rebecca,Female,2/23/1990,3:21 PM,134673,6.878,false
Andrea,Female,11/17/2011,2:37 PM,123591,6.5,true
Marilyn,Female,7/2/1984,4:06 PM,92430,2.924,false
Willie,Male,12/5/2009,5:39 AM,141932,1.017,true
Craig,Male,8/21/1995,2:38 AM,123876,4.225,false
Albert,Male,6/17/1992,3:25 AM,86818,14.301,true
Harry,Male,9/23/2015,1:36 AM,129148,15.193,true
Patricia,Female,3/7/1998,1:10 AM,75825,7.839,false
Karen,Female,1/9/2014,10:09 PM,46478,16.552,false
Martin,,2/6/2001,4:17 AM,123963,15.745,true
Peter,Male,3/22/1982,7:28 AM,77933,13.132,true
Terry,Male,10/21/2010,11:18 PM,58357,7.969,false
John,Male,1/29/1999,3:07 AM,67165,13.001,false
Andrea,Female,12/10/2001,6:40 AM,37888,13.47,false
Jennifer,Female,3/31/2015,7:43 PM,132084,10.006,true
Rose,Female,12/31/1982,6:50 PM,145001,19.85,false
Thomas,Male,5/3/1990,9:29 AM,111371,15.081,true
Julie,Female,3/8/1980,5:13 AM,145357,3.459,false
Kelly,Female,3/17/2007,6:20 PM,39371,4.068,false
,Male,11/12/2009,2:30 PM,109411,9.494,
Douglas,Male,8/4/2007,5:23 AM,132175,2.28,false
Gerald,Male,3/29/2003,10:37 AM,96329,2.469,true
Beverly,Female,4/11/1998,2:27 PM,76485,9.212,true
Janice,Female,12/17/2009,6:42 AM,102697,3.283,false
Samuel,Male,8/7/1997,12:40 PM,43694,3.787,true
Alice,Female,3/23/1996,3:09 AM,131952,12.09,false
William,Male,6/26/1997,8:33 AM,104840,15.653,true
Wayne,Male,9/8/2006,11:09 AM,67471,2.728,false
Ashley,Female,3/31/2006,1:24 PM,142410,11.048,true
Beverly,Female,10/17/1986,12:51 AM,80838,8.115,false
Gloria,Female,10/24/1987,4:43 AM,39833,9.631,false
Thomas,Male,3/12/2016,3:10 PM,105681,19.572,false
Linda,Female,2/4/2010,8:49 PM,44486,17.308,true
Kimberly,Female,1/26/2013,12:57 AM,46233,8.862,true
John,Male,12/23/1982,10:35 PM,146907,11.738,false
Maria,Female,10/15/2011,4:53 PM,43455,13.04,false
Tina,Female,5/15/1997,3:53 PM,56450,19.04,true
