firstName,gender,hireDate,lastLoginTime,salary,bonusPercentage,seniorManagement
Frances,Female,8/8/2002,6:51 AM,139852,7.524,true
Jean,Female,12/18/1993,9:07 AM,119082,16.18,false
Rachel,Female,2/16/2009,8:47 PM,142032,12.599,false
Stephanie,Female,9/13/1986,1:52 AM,36844,5.574,true
Christine,,6/28/2015,1:08 AM,66582,11.308,true
Clarence,Male,3/26/1996,5:57 AM,93581,6.083,true
Denise,Female,11/6/2001,12:03 PM,106862,3.699,false
Kathleen,,4/11/1990,6:46 PM,77834,18.771,false
Nancy,Female,12/15/2012,11:57 PM,125250,2.672,true
Annie,,9/29/2007,12:11 AM,103495,17.29,true
Linda,Female,5/25/2000,5:45 PM,119009,12.506,true
Harold,Male,1/2/1985,9:40 PM,77544,12.447,false
Bonnie,Female,12/17/1999,3:12 PM,42153,8.454,true
Ashley,Female,8/4/2002,11:00 AM,58698,6.811,true
Andrea,Female,1/12/2012,5:43 AM,120204,9.557,false
Peter,Male,11/17/1994,6:15 PM,84885,15.402,false
Antonio,Male,10/25/1988,1:50 PM,60866,13.101,true
Carolyn,Female,4/9/2011,5:38 AM,109260,2.65,true
Brandon,,11/3/1997,8:17 PM,121333,15.295,false
Marie,Female,3/16/2003,12:12 AM,104058,17.695,true
Mary,Female,8/13/1999,1:03 AM,134645,18.197,false
Mark,Male,4/12/2008,5:40 PM,57286,5.025,true
Lillian,Female,6/19/1999,4:44 PM,123940,12.184,true
Diana,Female,1/4/2013,7:53 AM,103521,2.784,true
Betty,Female,6/12/2002,3:59 AM,104896,19.55,true
Sharon,,3/1/1990,3:46 AM,83658,6.513,false
Debra,Female,2/22/1994,10:25 PM,104250,18.456,true
Ruby,Female,11/8/2000,7:35 PM,105946,1.139,false
Kevin,Male,7/12/1997,2:07 AM,46080,9.635,false
Mark,Male,4/1/1984,1:21 PM,121477,17.44,true
Kathy,Female,12/18/2013,3:09 PM,132381,8.34,false
Ruby,Female,12/10/1988,8:27 PM,76707,6.031,false
Scott,Male,5/12/2009,4:36 AM,58248,3.914,false
Marilyn,Female,12/17/1982,12:10 PM,147183,8.748,false
Linda,Female,7/15/2009,10:12 PM,144001,2.194,false
Norma,Female,4/16/1996,5:40 AM,38872,9.302,true
Mary,Female,8/22/2010,8:03 AM,42214,17.538,true
Kevin,Male,6/23/1981,8:26 PM,134598,11.699,false
Gary,Male,8/18/2011,8:12 AM,49101,11.9,true
Dorothy,Female,11/5/2013,10:50 PM,140136,3.12,true
Louise,Female,5/13/2003,9:47 AM,46666,1.886,true
Clarence,Male,8/20/1992,8:23 PM,124365,8.457,false
Albert,Male,8/14/2008,5:43 PM,137840,9.705,false
Michael,Male,5/22/2011,10:42 AM,73354,18.357,false
,Female,4/27/2013,6:40 AM,93847,1.085,
Cheryl,Female,12/3/2014,9:27 AM,71751,15.918,false
Jerry,Male,1/30/1995,7:51 PM,121357,18.845,false
Diana,Female,6/13/1994,4:21 PM,41831,4.548,false
Ann,Female,11/4/1984,12:17 PM,90719,6.22,false
Joe,Male,7/4/1983,7:32 AM,62161,8.13,true
Clarence,Male,8/26/1982,9:47 AM,146589,4.905,true
Cynthia,Female,9/14/1991,1:08 PM,51633,13.472,true
Diane,Female,2/2/1988,6:14 PM,49501,13.506,false
Andrea,Female,10/30/1994,11:23 AM,87575,13.346,true
Louis,Male,4/15/2011,5:02 AM,95198,2.075,false
Mark,Male,10/3/1984,5:31 AM,95728,6.752,true
Carl,,10/26/1991,8:11 AM,100888,12.49,true
Frances,Female,11/12/1996,6:08 PM,112467,1.433,false
Gregory,Male,11/15/1999,5:22 PM,128031,15.857,true
Harold,,2/4/2004,11:02 AM,79459,7.776,true
Ralph,Male,3/24/1996,11:54 AM,50455,16.248,false
Eric,Male,6/15/1993,3:56 AM,51070,13.806,true
Harold,Male,4/16/2010,5:13 AM,147417,11.626,true
,Male,6/17/2009,1:00 PM,136681,3.655,
Barbara,Female,11/26/2002,5:32 AM,82884,6.837,true
Joseph,Male,10/10/2010,11:12 PM,107050,12.737,false
James,Male,2/16/2008,2:49 AM,69111,14.625,true
Gloria,Female,8/19/2004,10:31 AM,46602,1.027,true
Ernest,Male,6/30/2001,1:46 PM,61181,16.559,false
Martha,Female,7/17/1997,11:11 PM,94963,19.626,true
Henry,Male,2/23/2007,3:24 AM,49665,18.338,false
Lillian,Female,8/14/2009,5:41 AM,113554,18.018,true
Doris,Female,9/8/1984,7:03 PM,114360,17.799,true
Michelle,,3/31/2012,6:28 AM,124441,16.353,false
Jane,Female,1/12/1992,1:23 PM,51923,13.623,false
